Model,MAE,RMSE,R²
Linear Regression,1099063.3610184211,1448419.1198880286,0.48459306997606666
Random Forest,1098133.0204166668,1548463.5797810974,0.41093428613393834
XGBoost,1037611.34375,1467480.805345375,0.4709379453215937
SARIMA,1548896.0324820897,2096619.311462625,-0.0799432113882137
RF (optimized),1081459.592600018,1538767.3287760227,0.41828847397702695
XGBoost (optimized),1092469.3854166667,1553965.770652288,0.4067405673208846
