Model,MAE,RMSE,MAPE,R²
Random Forest,117361.49256894842,151812.97706183683,7.6928093849422865,0.9627730856989415
Linear Regression,143260.27605415016,164869.72873329435,9.658046493189827,0.956094281108822
Chronos-T5-tiny,172045.84375,221353.5080439123,11.157149614627853,0.9208570810295262
XGBoost,248412.9375,300611.41322311765,16.10040724469646,0.8540345113892408
"SARIMAX(1,1,1)(1,1,1)_12",331011.19838927995,370908.910217687,21.520764649581704,0.7777847917395484
CIR#,394559.4098925532,465266.6685253236,24.975044392839017,0.6503422748642106
